epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2531,1.35856,2.79878,0,1.21687,1.43301,0.99129,1,0.99497,0.7592,0.99129,1,0.99497,0.94879,0.9885,0.71558,0,0.59238,1.20868,0.000662602,0.000662602,0.000662602
2,67.0858,0.83635,0.72731,0,0.63032,1.05511,0.99971,1,0.995,0.76047,0.99971,1,0.995,0.98292,0.8636,0.35013,0,0.54049,1.07843,0.00131611,0.00131611,0.00131611
3,95.5164,0.81569,0.44392,0,0.59472,1.0393,0.99968,1,0.995,0.90886,0.99968,1,0.995,0.99264,0.60947,0.20247,0,0.36258,1.00547,0.00195642,0.00195642,0.00195642
4,125.413,0.72283,0.34361,0,0.55485,1.01257,0.99984,1,0.995,0.73559,0.99984,1,0.995,0.99497,1.17798,0.12665,0,0.54804,1.35322,0.0019406,0.0019406,0.0019406
5,155.371,0.64017,0.29241,0,0.49607,0.97632,0.96952,0.944,0.98795,0.75823,0.97654,0.94133,0.98616,0.98445,0.94932,0.41731,0,0.84212,1.32529,0.0019208,0.0019208,0.0019208
6,184.22,0.61495,0.2444,0,0.47143,0.96236,0.99983,1,0.995,0.88977,0.99983,1,0.995,0.995,0.67895,0.06652,0,0.34759,1.03084,0.001901,0.001901,0.001901
7,213.347,0.59441,0.19443,0,0.45911,0.95192,0.99984,1,0.995,0.86073,0.99984,1,0.995,0.995,0.84382,0.07119,0,0.38768,1.1361,0.0018812,0.0018812,0.0018812
8,242.927,0.52628,0.18831,0,0.43846,0.9325,0.99983,1,0.995,0.95148,0.99983,1,0.995,0.995,0.42588,0.07452,0,0.26154,0.92991,0.0018614,0.0018614,0.0018614
9,272.008,0.50756,0.16616,0,0.42293,0.92251,0.99984,1,0.995,0.97505,0.99984,1,0.995,0.995,0.41701,0.05864,0,0.27152,0.91893,0.0018416,0.0018416,0.0018416
10,301.607,0.48631,0.14436,0,0.40534,0.91238,0.99984,1,0.995,0.94826,0.99984,1,0.995,0.995,0.39785,0.04381,0,0.24668,0.95429,0.0018218,0.0018218,0.0018218
11,329.804,0.47783,0.13113,0,0.40937,0.91761,0.99985,1,0.995,0.96082,0.99985,1,0.995,0.995,0.46258,0.04287,0,0.2508,0.97097,0.001802,0.001802,0.001802
12,359.553,0.44693,0.12201,0,0.37114,0.89597,0.99984,1,0.995,0.97852,0.99984,1,0.995,0.995,0.39723,0.04961,0,0.24029,0.93508,0.0017822,0.0017822,0.0017822
13,388.047,0.44535,0.11144,0,0.38289,0.90055,0.99984,1,0.995,0.97844,0.99984,1,0.995,0.995,0.35612,0.04468,0,0.22349,0.92875,0.0017624,0.0017624,0.0017624
14,417.602,0.44376,0.11728,0,0.37178,0.89479,0.99985,1,0.995,0.96485,0.99985,1,0.995,0.995,0.4048,0.05881,0,0.24686,0.95881,0.0017426,0.0017426,0.0017426
15,446.603,0.41542,0.11219,0,0.36495,0.88994,0.99985,1,0.995,0.93024,0.99985,1,0.995,0.995,0.5877,0.04246,0,0.31919,1.02942,0.0017228,0.0017228,0.0017228
16,474.833,0.40505,0.11677,0,0.35271,0.89095,0.99984,1,0.995,0.98484,0.99984,1,0.995,0.995,0.36262,0.0398,0,0.21791,0.93598,0.001703,0.001703,0.001703
17,504.489,0.40831,0.09016,0,0.35088,0.8841,0.99985,1,0.995,0.99058,0.99985,1,0.995,0.995,0.33566,0.03523,0,0.2113,0.93179,0.0016832,0.0016832,0.0016832
18,533.401,0.39503,0.08759,0,0.34769,0.88178,0.99985,1,0.995,0.97689,0.99985,1,0.995,0.995,0.34714,0.03231,0,0.21689,0.90613,0.0016634,0.0016634,0.0016634
19,561.238,0.39517,0.0913,0,0.33475,0.88032,0.99985,1,0.995,0.95007,0.99985,1,0.995,0.995,0.47304,0.03053,0,0.24177,0.94026,0.0016436,0.0016436,0.0016436
20,591.39,0.37461,0.09169,0,0.33549,0.8797,0.99986,1,0.995,0.99043,0.99986,1,0.995,0.995,0.30672,0.03799,0,0.19042,0.94167,0.0016238,0.0016238,0.0016238
21,619.537,0.37585,0.09437,0,0.33797,0.8787,0.99984,1,0.995,0.9902,0.99984,1,0.995,0.995,0.30532,0.03674,0,0.1892,0.92117,0.001604,0.001604,0.001604
22,648.473,0.36041,0.07518,0,0.33798,0.87188,0.99984,1,0.995,0.99241,0.99984,1,0.995,0.995,0.29789,0.03032,0,0.18418,0.90542,0.0015842,0.0015842,0.0015842
23,678.951,0.35206,0.07931,0,0.32398,0.87542,0.99985,1,0.995,0.9907,0.99985,1,0.995,0.995,0.35013,0.03178,0,0.21799,0.94095,0.0015644,0.0015644,0.0015644
24,708.123,0.34934,0.07881,0,0.32115,0.87374,0.99985,1,0.995,0.99301,0.99985,1,0.995,0.995,0.30905,0.03118,0,0.18942,0.92337,0.0015446,0.0015446,0.0015446
25,737.984,0.36112,0.08252,0,0.32742,0.87509,0.99985,1,0.995,0.99023,0.99985,1,0.995,0.995,0.34477,0.02805,0,0.20574,0.95426,0.0015248,0.0015248,0.0015248
26,767.314,0.34417,0.08475,0,0.32556,0.87069,0.99985,1,0.995,0.99059,0.99985,1,0.995,0.995,0.33325,0.03229,0,0.19201,0.92221,0.001505,0.001505,0.001505
27,796.555,0.34578,0.07054,0,0.30708,0.86341,0.99985,1,0.995,0.99384,0.99985,1,0.995,0.995,0.29441,0.02683,0,0.18025,0.91529,0.0014852,0.0014852,0.0014852
28,825.633,0.34242,0.07038,0,0.31245,0.8672,0.99985,1,0.995,0.99409,0.99985,1,0.995,0.995,0.31333,0.0304,0,0.18496,0.93145,0.0014654,0.0014654,0.0014654
29,853.588,0.33308,0.06462,0,0.30865,0.86428,0.99986,1,0.995,0.99335,0.99986,1,0.995,0.995,0.29131,0.0285,0,0.17303,0.92263,0.0014456,0.0014456,0.0014456
30,882.837,0.35291,0.06471,0,0.30921,0.86528,0.99985,1,0.995,0.99327,0.99985,1,0.995,0.995,0.282,0.02505,0,0.17136,0.92269,0.0014258,0.0014258,0.0014258
31,911.419,0.33047,0.06237,0,0.2956,0.86156,0.99985,1,0.995,0.99386,0.99985,1,0.995,0.995,0.27204,0.02537,0,0.16816,0.91669,0.001406,0.001406,0.001406
32,938.982,0.31785,0.07298,0,0.29856,0.85668,0.99986,1,0.995,0.9904,0.99986,1,0.995,0.995,0.30877,0.02884,0,0.18103,0.92311,0.0013862,0.0013862,0.0013862
33,968.089,0.30876,0.06633,0,0.28606,0.85273,0.99984,1,0.995,0.99269,0.99984,1,0.995,0.995,0.27651,0.02435,0,0.16205,0.90873,0.0013664,0.0013664,0.0013664
34,996.734,0.30423,0.0658,0,0.28813,0.8551,0.99985,1,0.995,0.97505,0.99985,1,0.995,0.995,0.36303,0.03166,0,0.19683,0.93881,0.0013466,0.0013466,0.0013466
35,1026.01,0.31983,0.0617,0,0.30125,0.86029,0.99985,1,0.995,0.99122,0.99985,1,0.995,0.995,0.3266,0.02692,0,0.17586,0.93004,0.0013268,0.0013268,0.0013268
36,1055.08,0.29672,0.06317,0,0.28004,0.84973,0.99985,1,0.995,0.99488,0.99985,1,0.995,0.995,0.26753,0.02484,0,0.15917,0.90747,0.001307,0.001307,0.001307
