epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,89.298,0.46188,0.40272,1.35124,0.99334,1,0.995,0.89945,0.42314,0.29905,1.19078,0.000957358,0.000957358,0.000957358
45,91.3384,0.44516,0.41997,1.36564,0.99453,1,0.995,0.91202,0.38462,0.30833,1.24218,0.000940855,0.000940855,0.000940855
46,92.9619,0.43295,0.39014,1.36247,0.9949,1,0.995,0.93637,0.37492,0.31218,1.27984,0.000924352,0.000924352,0.000924352
47,94.5056,0.47286,0.39596,1.34873,0.99475,1,0.995,0.94903,0.35582,0.29327,1.29457,0.000907848,0.000907848,0.000907848
48,96.0531,0.49972,0.42826,1.39192,0.99456,1,0.995,0.94957,0.37244,0.2782,1.2846,0.000891345,0.000891345,0.000891345
49,97.6577,0.44008,0.4106,1.28951,0.99448,1,0.995,0.94062,0.40042,0.28388,1.26755,0.000874842,0.000874842,0.000874842
50,99.4329,0.46402,0.40763,1.30384,0.99428,1,0.995,0.94053,0.40293,0.29998,1.23846,0.000858338,0.000858338,0.000858338
51,101.497,0.47654,0.41015,1.32587,0.99359,1,0.995,0.94966,0.36219,0.28156,1.20341,0.000841835,0.000841835,0.000841835
52,103.316,0.44582,0.38148,1.39221,0.9931,1,0.995,0.9433,0.35914,0.27456,1.19544,0.000825332,0.000825332,0.000825332
53,104.859,0.43332,0.38197,1.24524,0.9936,1,0.995,0.95395,0.34796,0.26908,1.21483,0.000808828,0.000808828,0.000808828
54,106.467,0.47155,0.4015,1.40321,0.9941,1,0.995,0.95855,0.33128,0.28256,1.24066,0.000792325,0.000792325,0.000792325
55,108.113,0.42901,0.37595,1.38448,0.99444,1,0.995,0.96506,0.32098,0.27669,1.28613,0.000775822,0.000775822,0.000775822
56,109.825,0.47609,0.40302,1.40862,0.99466,1,0.995,0.9603,0.32784,0.2743,1.3666,0.000759318,0.000759318,0.000759318
57,111.85,0.44056,0.38419,1.42408,0.99479,1,0.995,0.94715,0.34786,0.28431,1.39203,0.000742815,0.000742815,0.000742815
58,114.097,0.45992,0.38707,1.41315,0.99494,1,0.995,0.95078,0.3391,0.2943,1.39381,0.000726312,0.000726312,0.000726312
59,116.139,0.44336,0.37139,1.39475,0.99496,1,0.995,0.95046,0.3474,0.27071,1.37775,0.000709809,0.000709809,0.000709809
60,118.211,0.45686,0.37025,1.37692,0.9949,1,0.995,0.9501,0.35408,0.2555,1.35592,0.000693305,0.000693305,0.000693305
61,119.997,0.43688,0.38107,1.33699,0.99488,1,0.995,0.95348,0.34756,0.25844,1.3441,0.000676802,0.000676802,0.000676802
62,121.62,0.44256,0.37957,1.34494,0.99503,1,0.995,0.95916,0.32696,0.27148,1.31792,0.000660299,0.000660299,0.000660299
63,123.218,0.4845,0.40372,1.34437,0.99503,1,0.995,0.95164,0.33073,0.27428,1.29759,0.000643795,0.000643795,0.000643795
64,124.982,0.44846,0.38128,1.27308,0.99507,1,0.995,0.95155,0.32691,0.27393,1.29017,0.000627292,0.000627292,0.000627292
65,127.174,0.4313,0.37249,1.31708,0.99505,1,0.995,0.95661,0.29662,0.25349,1.29132,0.000610789,0.000610789,0.000610789
66,129.347,0.40845,0.35888,1.34873,0.99488,1,0.995,0.96398,0.28419,0.24951,1.29432,0.000594286,0.000594286,0.000594286
67,131.454,0.44382,0.38015,1.35609,0.99506,1,0.995,0.96899,0.29383,0.24345,1.29939,0.000577782,0.000577782,0.000577782
68,133.198,0.39151,0.34807,1.37036,0.99513,1,0.995,0.955,0.31415,0.25115,1.30875,0.000561279,0.000561279,0.000561279
69,134.952,0.44554,0.36502,1.35936,0.99506,1,0.995,0.95114,0.31387,0.26643,1.31071,0.000544776,0.000544776,0.000544776
70,136.522,0.45057,0.3855,1.36079,0.99493,1,0.995,0.96328,0.30241,0.26758,1.32269,0.000528272,0.000528272,0.000528272
71,138.796,0.42987,0.36077,1.40434,0.99468,1,0.995,0.96237,0.29938,0.26343,1.32458,0.000511769,0.000511769,0.000511769
72,141.222,0.41679,0.35506,1.36993,0.99445,1,0.995,0.96426,0.31317,0.26419,1.31764,0.000495266,0.000495266,0.000495266
73,143.438,0.42976,0.36282,1.32631,0.99434,1,0.995,0.95471,0.31227,0.26195,1.30928,0.000478762,0.000478762,0.000478762
74,145.424,0.38663,0.32589,1.3121,0.99432,1,0.995,0.95444,0.3167,0.25465,1.29566,0.000462259,0.000462259,0.000462259
75,147.202,0.41398,0.34067,1.32713,0.99446,1,0.995,0.95925,0.32057,0.25947,1.28429,0.000445756,0.000445756,0.000445756
76,148.73,0.3732,0.33968,1.2899,0.9946,1,0.995,0.95979,0.31344,0.26223,1.27412,0.000429253,0.000429253,0.000429253
