epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2348,1.48965,8.93696,0.76225,1.36751,1.57159,0.99966,1,0.995,0.84413,0.91492,0.915,0.90737,0.51273,0.65306,4.77946,0.71695,0.43039,0.96725,0.000659091,0.000659091,0.000659091
2,39.8558,0.91551,3.40586,0.59886,0.66474,1.10443,0.99909,1,0.995,0.74118,0.97408,0.975,0.96841,0.79738,1.06178,1.70199,0.38986,0.5428,1.18006,0.00131263,0.00131263,0.00131263
3,54.7997,0.85412,1.90717,0.40782,0.64645,1.08085,0.99879,1,0.995,0.79972,0.9888,0.99,0.98475,0.92556,0.67932,1.00291,0.16317,0.44442,0.99349,0.00195297,0.00195297,0.00195297
4,69.7522,0.82984,1.60832,0.33864,0.62375,1.05467,0.99897,1,0.995,0.85864,0.98898,0.99,0.98465,0.95278,0.59073,0.71468,0.10755,0.4947,0.91541,0.0019406,0.0019406,0.0019406
5,83.9874,0.67438,1.14592,0.296,0.54308,0.99263,0.99961,1,0.995,0.94251,0.99462,0.995,0.9949,0.96291,0.41859,0.60821,0.08239,0.32565,0.87425,0.0019208,0.0019208,0.0019208
6,100.325,0.61715,1.17309,0.28381,0.4816,0.95818,0.99919,1,0.995,0.88073,0.99443,0.995,0.995,0.97496,0.51624,0.53846,0.07483,0.39083,0.91054,0.001901,0.001901,0.001901
7,115.442,0.56492,0.93756,0.26209,0.47372,0.94425,0.99966,1,0.995,0.93149,0.99466,0.995,0.9949,0.98496,0.37018,0.38257,0.06546,0.3309,0.85132,0.0018812,0.0018812,0.0018812
8,130.985,0.5752,0.78942,0.25237,0.46933,0.94105,0.9994,1,0.995,0.92618,0.9944,0.995,0.9948,0.98322,0.42047,0.39406,0.06307,0.43346,0.88972,0.0018614,0.0018614,0.0018614
9,145.755,0.5323,0.71476,0.24788,0.44015,0.91831,0.9997,1,0.995,0.94772,0.9947,0.995,0.9949,0.99195,0.386,0.33752,0.06024,0.27818,0.87781,0.0018416,0.0018416,0.0018416
10,160.279,0.49833,0.682,0.22331,0.42326,0.91566,0.9997,1,0.995,0.96811,0.9947,0.995,0.9944,0.98519,0.33195,0.3698,0.05914,0.25275,0.87716,0.0018218,0.0018218,0.0018218
11,176.255,0.51077,0.64591,0.21759,0.43196,0.91636,0.99971,1,0.995,0.97724,0.99471,0.995,0.99435,0.97873,0.31497,0.35609,0.054,0.24986,0.86292,0.001802,0.001802,0.001802
12,192.986,0.55551,0.65328,0.19971,0.44684,0.92759,0.9997,1,0.995,0.87631,0.9947,0.995,0.9947,0.98887,0.50487,0.28724,0.04717,0.29561,0.89194,0.0017822,0.0017822,0.0017822
13,208.14,0.52084,0.60947,0.19469,0.42872,0.91579,0.9997,1,0.995,0.94675,0.98975,0.99,0.98696,0.9855,0.38781,0.33428,0.04717,0.28145,0.8701,0.0017624,0.0017624,0.0017624
14,222.768,0.49509,0.56819,0.17446,0.41465,0.90887,0.99967,1,0.995,0.9507,0.99467,0.995,0.9949,0.98941,0.37611,0.30324,0.04453,0.26098,0.87834,0.0017426,0.0017426,0.0017426
15,239.302,0.48415,0.55353,0.17122,0.42066,0.90557,0.9997,1,0.995,0.97458,0.99471,0.995,0.9945,0.98844,0.34446,0.30391,0.03339,0.25183,0.86419,0.0017228,0.0017228,0.0017228
16,255.073,0.50993,0.53023,0.16563,0.41832,0.91323,0.99972,1,0.995,0.9481,0.99472,0.995,0.99485,0.99391,0.35649,0.26389,0.03315,0.25492,0.86601,0.001703,0.001703,0.001703
17,271.49,0.44041,0.49493,0.14664,0.38645,0.8955,0.99969,1,0.995,0.91474,0.99471,0.995,0.995,0.99028,0.43953,0.26251,0.03318,0.26803,0.89524,0.0016832,0.0016832,0.0016832
18,286.38,0.46931,0.45883,0.13606,0.3956,0.89257,0.99971,1,0.995,0.97731,0.99971,1,0.995,0.99055,0.30492,0.19214,0.02435,0.21238,0.85686,0.0016634,0.0016634,0.0016634
19,301.536,0.40429,0.46397,0.13443,0.37671,0.8792,0.9997,1,0.995,0.98582,0.9947,0.995,0.99435,0.99005,0.29436,0.25154,0.02308,0.21594,0.84834,0.0016436,0.0016436,0.0016436
20,316.765,0.42546,0.47035,0.13438,0.38079,0.88751,0.99971,1,0.995,0.97525,0.99472,0.995,0.99475,0.99218,0.33382,0.22201,0.02318,0.20724,0.86902,0.0016238,0.0016238,0.0016238
21,332.178,0.4337,0.49108,0.11907,0.37439,0.88694,0.99968,1,0.995,0.96987,0.9947,0.995,0.995,0.99369,0.31237,0.2003,0.02044,0.21808,0.86076,0.001604,0.001604,0.001604
22,347.163,0.43487,0.4108,0.121,0.37232,0.88596,0.99971,1,0.995,0.95279,0.99971,1,0.995,0.99245,0.32578,0.18367,0.01839,0.22786,0.87375,0.0015842,0.0015842,0.0015842
23,361.515,0.39591,0.4178,0.11519,0.35649,0.8753,0.99967,1,0.995,0.98797,0.99967,1,0.995,0.99365,0.26333,0.17458,0.01689,0.20093,0.84535,0.0015644,0.0015644,0.0015644
