epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0435,1.38332,1.94973,0,1.19682,1.41453,0.99961,1,0.995,0.85479,0.99961,1,0.995,0.9733,0.90331,0.64501,0,0.66243,1.15499,0.000662698,0.000662698,0.000662698
2,82.7221,0.84956,0.45587,0,0.60735,1.0532,0.99967,1,0.995,0.75782,0.99967,1,0.995,0.99297,0.94507,0.25413,0,0.52239,1.26208,0.0013162,0.0013162,0.0013162
3,124.159,0.80232,0.32592,0,0.58464,1.03538,0.99979,1,0.995,0.92371,0.99979,1,0.995,0.99495,0.49252,0.13809,0,0.32098,0.98426,0.00195651,0.00195651,0.00195651
4,154.351,0.73674,0.20715,0,0.5504,1.01104,0.99982,1,0.995,0.8372,0.99982,1,0.995,0.99495,0.81039,0.11569,0,0.39796,1.14623,0.0019406,0.0019406,0.0019406
5,182.295,0.60938,0.18248,0,0.47037,0.96084,0.99984,1,0.995,0.91042,0.99984,1,0.995,0.995,0.5612,0.07574,0,0.34507,1.01839,0.0019208,0.0019208,0.0019208
6,212.081,0.57935,0.12536,0,0.45207,0.94386,0.99982,1,0.995,0.93337,0.99982,1,0.995,0.99498,0.50358,0.05785,0,0.30933,0.97423,0.001901,0.001901,0.001901
7,241.755,0.55264,0.12184,0,0.44188,0.93525,0.99983,1,0.995,0.83548,0.99983,1,0.995,0.995,0.81434,0.09051,0,0.39352,1.16722,0.0018812,0.0018812,0.0018812
8,268.809,0.49987,0.117,0,0.41096,0.92319,0.99951,1,0.995,0.94513,0.99951,1,0.995,0.995,0.4675,0.06023,0,0.26086,0.99359,0.0018614,0.0018614,0.0018614
9,299.663,0.49891,0.09556,0,0.41066,0.92048,0.99927,1,0.995,0.95574,0.99927,1,0.995,0.995,0.46766,0.04512,0,0.26996,0.98406,0.0018416,0.0018416,0.0018416
10,328.105,0.48383,0.08051,0,0.39704,0.91093,0.99982,1,0.995,0.94352,0.99982,1,0.995,0.99495,0.46413,0.04428,0,0.28191,0.98699,0.0018218,0.0018218,0.0018218
11,356.62,0.47738,0.06387,0,0.38895,0.90913,0.99985,1,0.995,0.96118,0.99985,1,0.995,0.99499,0.4431,0.03745,0,0.23048,0.96609,0.001802,0.001802,0.001802
12,385.976,0.41773,0.08816,0,0.3619,0.89126,0.99985,1,0.995,0.97893,0.99985,1,0.995,0.995,0.41711,0.05508,0,0.23597,0.97714,0.0017822,0.0017822,0.0017822
13,413.065,0.4223,0.06657,0,0.36512,0.89222,0.99984,1,0.995,0.96875,0.99984,1,0.995,0.99487,0.43078,0.04179,0,0.23735,0.99317,0.0017624,0.0017624,0.0017624
