epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,2001.4,0.21113,0.20032,1.00233,0.99948,1,0.995,0.995,0.14737,0.18337,1.07231,0.001109,0.001109,0.001109
47,2047.45,0.20467,0.19831,0.99532,0.99948,1,0.995,0.995,0.13136,0.17005,1.08094,0.0010892,0.0010892,0.0010892
48,2093.44,0.20582,0.20336,1.00098,1,1,0.995,0.995,0.13675,0.17796,1.08079,0.0010694,0.0010694,0.0010694
49,2139.55,0.20942,0.20306,1.00438,0.99948,1,0.995,0.995,0.14036,0.17607,1.08719,0.0010496,0.0010496,0.0010496
50,2185.34,0.19059,0.18531,0.9958,0.99948,1,0.995,0.995,0.13035,0.15625,1.08003,0.0010298,0.0010298,0.0010298
51,2231.2,0.20926,0.20279,1.01504,1,1,0.995,0.995,0.12861,0.17103,1.07715,0.00101,0.00101,0.00101
52,2277.09,0.20264,0.19385,1.00833,0.99949,1,0.995,0.995,0.12988,0.16733,1.08381,0.0009902,0.0009902,0.0009902
53,2322.81,0.194,0.19337,1.00539,0.99948,1,0.995,0.995,0.14759,0.17338,1.08746,0.0009704,0.0009704,0.0009704
54,2368.81,0.2036,0.19606,1.00237,0.99947,1,0.995,0.995,0.15192,0.19867,1.08983,0.0009506,0.0009506,0.0009506
55,2414.94,0.19338,0.18915,1.00285,1,1,0.995,0.995,0.12956,0.17635,1.09133,0.0009308,0.0009308,0.0009308
56,2460.98,0.19226,0.18801,0.99593,1,1,0.995,0.995,0.12941,0.17523,1.09431,0.000911,0.000911,0.000911
57,2502.82,0.19406,0.19229,1.00467,0.99948,1,0.995,0.995,0.14269,0.18377,1.08717,0.0008912,0.0008912,0.0008912
58,2544.58,0.19144,0.19152,0.99473,0.99948,1,0.995,0.995,0.12228,0.16291,1.08531,0.0008714,0.0008714,0.0008714
59,2590.66,0.19021,0.19132,0.99854,0.99947,1,0.995,0.995,0.15209,0.1865,1.08717,0.0008516,0.0008516,0.0008516
60,2636.52,0.19057,0.19163,0.99419,0.99947,1,0.995,0.995,0.12635,0.1647,1.08942,0.0008318,0.0008318,0.0008318
61,2678.39,0.19008,0.19164,0.99649,0.99947,1,0.995,0.995,0.11633,0.16235,1.09145,0.000812,0.000812,0.000812
62,2720.29,0.18115,0.18116,0.99655,1,1,0.995,0.995,0.1281,0.16142,1.08408,0.0007922,0.0007922,0.0007922
63,2762.19,0.18244,0.18309,0.9981,0.99948,1,0.995,0.995,0.11569,0.16416,1.08842,0.0007724,0.0007724,0.0007724
64,2804.3,0.17765,0.17574,0.99188,1,1,0.995,0.995,0.12775,0.16498,1.08037,0.0007526,0.0007526,0.0007526
65,2846.44,0.1864,0.1842,1.00388,1,1,0.995,0.995,0.12088,0.15498,1.0828,0.0007328,0.0007328,0.0007328
66,2888.08,0.17301,0.17382,0.98939,1,1,0.995,0.995,0.12243,0.1693,1.07461,0.000713,0.000713,0.000713
67,2930.09,0.18103,0.18012,1.00266,1,1,0.995,0.995,0.13212,0.16659,1.08627,0.0006932,0.0006932,0.0006932
68,2971.82,0.19045,0.18453,1.00293,0.99948,1,0.995,0.995,0.12666,0.15452,1.08897,0.0006734,0.0006734,0.0006734
69,3013.32,0.17604,0.17948,0.99434,1,1,0.995,0.995,0.11808,0.14964,1.09548,0.0006536,0.0006536,0.0006536
70,3055.22,0.16929,0.17288,1.0036,1,1,0.995,0.995,0.12104,0.16049,1.07435,0.0006338,0.0006338,0.0006338
71,3097.08,0.16736,0.17103,0.9907,1,1,0.995,0.995,0.11343,0.159,1.08777,0.000614,0.000614,0.000614
72,3138.89,0.15838,0.16634,0.99325,1,1,0.995,0.995,0.11289,0.15083,1.09218,0.0005942,0.0005942,0.0005942
73,3180.56,0.17754,0.17642,0.9987,1,1,0.995,0.995,0.10782,0.15938,1.08486,0.0005744,0.0005744,0.0005744
74,3222,0.16445,0.16869,0.99454,1,1,0.995,0.995,0.10688,0.14907,1.08307,0.0005546,0.0005546,0.0005546
75,3270.89,0.16732,0.1702,0.97995,1,1,0.995,0.995,0.10697,0.15518,1.07637,0.0005348,0.0005348,0.0005348
76,3316.91,0.16766,0.17047,0.99629,1,1,0.995,0.995,0.10384,0.14644,1.08244,0.000515,0.000515,0.000515
77,3358.59,0.17034,0.17457,0.99462,0.99947,1,0.995,0.995,0.10251,0.15002,1.08053,0.0004952,0.0004952,0.0004952
78,3400.46,0.16209,0.16689,0.98946,0.99948,1,0.995,0.995,0.11063,0.14657,1.08959,0.0004754,0.0004754,0.0004754
79,3442.05,0.16291,0.16945,0.98038,0.99948,1,0.995,0.995,0.12292,0.15576,1.08977,0.0004556,0.0004556,0.0004556
80,3483.72,0.15962,0.16715,0.98979,0.99948,1,0.995,0.995,0.10671,0.15583,1.07538,0.0004358,0.0004358,0.0004358
81,3525.83,0.1561,0.16134,0.98535,0.99948,1,0.995,0.995,0.10645,0.1448,1.07616,0.000416,0.000416,0.000416
82,3567.63,0.16087,0.16373,0.98688,0.99947,1,0.995,0.995,0.10879,0.14553,1.08334,0.0003962,0.0003962,0.0003962
83,3609.44,0.15563,0.15723,0.98271,0.99947,1,0.995,0.995,0.10759,0.15326,1.08392,0.0003764,0.0003764,0.0003764
84,3651.55,0.15253,0.15821,0.99476,0.99947,1,0.995,0.995,0.10983,0.1459,1.08614,0.0003566,0.0003566,0.0003566
85,3693.31,0.15248,0.15841,0.99692,0.99947,1,0.995,0.995,0.10509,0.14887,1.0871,0.0003368,0.0003368,0.0003368
86,3735.02,0.15558,0.15828,0.99565,0.99947,1,0.995,0.995,0.09116,0.13779,1.08191,0.000317,0.000317,0.000317
87,3776.78,0.15235,0.16138,0.99022,0.99948,1,0.995,0.995,0.09874,0.14601,1.08229,0.0002972,0.0002972,0.0002972
88,3818.84,0.1437,0.15311,0.98403,0.99948,1,0.995,0.995,0.09385,0.13443,1.07979,0.0002774,0.0002774,0.0002774
89,3860.69,0.14135,0.15082,0.98516,0.99948,1,0.995,0.995,0.09019,0.12823,1.08221,0.0002576,0.0002576,0.0002576
90,3902.48,0.14481,0.15203,0.98122,0.99948,1,0.995,0.995,0.10475,0.14255,1.08194,0.0002378,0.0002378,0.0002378
91,3942.01,0.10488,0.12626,0.95895,0.99949,1,0.995,0.995,0.10715,0.14323,1.08447,0.000218,0.000218,0.000218
92,3981.53,0.10368,0.12525,0.95422,0.99948,1,0.995,0.995,0.10672,0.13761,1.08545,0.0001982,0.0001982,0.0001982
93,4021.18,0.10244,0.1275,0.95202,0.99948,1,0.995,0.995,0.10179,0.14293,1.09004,0.0001784,0.0001784,0.0001784
94,4060.97,0.09915,0.12054,0.94912,0.99948,1,0.995,0.995,0.11453,0.1446,1.08456,0.0001586,0.0001586,0.0001586
95,4100.51,0.10166,0.1262,0.9447,0.99948,1,0.995,0.995,0.0975,0.13253,1.08275,0.0001388,0.0001388,0.0001388
96,4141.17,0.09796,0.1216,0.96299,0.99949,1,0.995,0.995,0.1036,0.13374,1.08535,0.000119,0.000119,0.000119
97,4180.99,0.09493,0.12009,0.95825,0.99949,1,0.995,0.995,0.09335,0.13535,1.08284,9.92e-05,9.92e-05,9.92e-05
98,4221.02,0.09619,0.12171,0.94937,0.99949,1,0.995,0.995,0.09787,0.13236,1.08095,7.94e-05,7.94e-05,7.94e-05
99,4265.7,0.09287,0.12043,0.94578,0.99949,1,0.995,0.995,0.09975,0.13314,1.08287,5.96e-05,5.96e-05,5.96e-05
100,4309.72,0.0937,0.11806,0.95976,0.99949,1,0.995,0.995,0.09746,0.13119,1.08239,3.98e-05,3.98e-05,3.98e-05
