epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,917.413,0.33413,0.02387,0,0.29446,0.85874,0.99985,1,0.995,0.99474,0.99985,1,0.995,0.99499,0.29468,0.01169,0,0.17183,0.94435,0.001406,0.001406,0.001406
32,946.413,0.30926,0.02446,0,0.2898,0.84968,0.99985,1,0.995,0.98599,0.99985,1,0.995,0.99499,0.37096,0.01876,0,0.20194,0.98646,0.0013862,0.0013862,0.0013862
33,975.916,0.29205,0.02624,0,0.28684,0.85132,0.99986,1,0.995,0.9944,0.99986,1,0.995,0.99499,0.28081,0.01545,0,0.17359,0.9231,0.0013664,0.0013664,0.0013664
34,1005.78,0.28696,0.02831,0,0.27367,0.84522,0.99985,1,0.995,0.99499,0.99985,1,0.995,0.995,0.28362,0.01612,0,0.1709,0.94633,0.0013466,0.0013466,0.0013466
35,1033.42,0.3048,0.02483,0,0.28267,0.85248,0.99986,1,0.995,0.99406,0.99986,1,0.995,0.995,0.29404,0.01219,0,0.16115,0.94629,0.0013268,0.0013268,0.0013268
36,1062.91,0.27769,0.0261,0,0.27349,0.84654,0.99986,1,0.995,0.9915,0.99986,1,0.995,0.995,0.34884,0.01401,0,0.18978,0.95112,0.001307,0.001307,0.001307
37,1091.44,0.28833,0.02417,0,0.27538,0.84624,0.99985,1,0.995,0.99407,0.99985,1,0.995,0.99499,0.29373,0.01308,0,0.16651,0.93656,0.0012872,0.0012872,0.0012872
38,1119.13,0.27773,0.02092,0,0.26291,0.84279,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.2808,0.01386,0,0.166,0.95793,0.0012674,0.0012674,0.0012674
39,1148.58,0.28101,0.024,0,0.27321,0.84363,0.99985,1,0.995,0.99495,0.99985,1,0.995,0.995,0.27665,0.01564,0,0.16064,0.93623,0.0012476,0.0012476,0.0012476
40,1176.56,0.27575,0.02106,0,0.26471,0.84107,0.99985,1,0.995,0.99496,0.99985,1,0.995,0.99494,0.28747,0.01673,0,0.15388,0.949,0.0012278,0.0012278,0.0012278
41,1204.36,0.27865,0.0244,0,0.26831,0.84804,0.99986,1,0.995,0.99495,0.99986,1,0.995,0.99499,0.28559,0.0118,0,0.15849,0.96403,0.001208,0.001208,0.001208
42,1233.94,0.26947,0.0239,0,0.25621,0.84273,0.99986,1,0.995,0.99447,0.99986,1,0.995,0.99499,0.26434,0.01403,0,0.15855,0.95528,0.0011882,0.0011882,0.0011882
43,1262.76,0.28199,0.01921,0,0.26285,0.84475,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.99499,0.27111,0.01179,0,0.15186,0.96003,0.0011684,0.0011684,0.0011684
