epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2702,1.36028,0.62502,0,1.17434,1.40774,0.99972,1,0.995,0.64206,0.99972,1,0.995,0.953,1.15531,0.24518,0,0.74461,1.29421,0.000662698,0.000662698,0.000662698
2,66.4386,0.88367,0.1978,0,0.62393,1.06192,0.99704,1,0.99495,0.76556,0.99704,1,0.99495,0.98743,1.09508,0.11463,0,0.49342,1.29568,0.0013162,0.0013162,0.0013162
3,95.149,0.7612,0.14071,0,0.58697,1.01697,0.99218,1,0.995,0.8634,0.99218,1,0.995,0.98921,0.69281,0.08978,0,0.43403,1.10573,0.00195651,0.00195651,0.00195651
4,125.733,0.71122,0.09303,0,0.5388,0.99468,0.9998,1,0.995,0.92513,0.9998,1,0.995,0.9942,0.49608,0.04285,0,0.31724,1.00572,0.0019406,0.0019406,0.0019406
5,154.145,0.58861,0.07329,0,0.46355,0.9463,0.99984,1,0.995,0.91547,0.99984,1,0.995,0.99497,0.5441,0.03405,0,0.304,0.99775,0.0019208,0.0019208,0.0019208
6,183.614,0.57627,0.05123,0,0.44633,0.93779,0.99962,1,0.995,0.96917,0.99962,1,0.995,0.99484,0.41199,0.02994,0,0.26623,0.95202,0.001901,0.001901,0.001901
7,213.266,0.53692,0.051,0,0.43343,0.92488,0.99985,1,0.995,0.97198,0.99985,1,0.995,0.99492,0.41668,0.02689,0,0.25768,0.9798,0.0018812,0.0018812,0.0018812
8,241.841,0.5059,0.04599,0,0.40911,0.91736,0.99986,1,0.995,0.987,0.99986,1,0.995,0.99497,0.35389,0.02592,0,0.22655,0.93048,0.0018614,0.0018614,0.0018614
9,271.925,0.48742,0.04129,0,0.40615,0.91025,0.99983,1,0.995,0.86362,0.99983,1,0.995,0.99497,0.79521,0.03138,0,0.38336,1.16331,0.0018416,0.0018416,0.0018416
10,300.917,0.45442,0.0386,0,0.38909,0.90173,0.99985,1,0.995,0.98199,0.99985,1,0.995,0.995,0.40587,0.02533,0,0.25691,0.98254,0.0018218,0.0018218,0.0018218
11,329.387,0.50709,0.03421,0,0.40304,0.91394,0.99985,1,0.995,0.98137,0.99985,1,0.995,0.99499,0.40267,0.02123,0,0.24921,0.96625,0.001802,0.001802,0.001802
12,359.287,0.43725,0.0402,0,0.37456,0.89375,0.99985,1,0.995,0.8836,0.99985,1,0.995,0.99495,0.68879,0.02661,0,0.3462,1.1109,0.0017822,0.0017822,0.0017822
13,388.456,0.41573,0.03523,0,0.37313,0.89133,0.99984,1,0.995,0.78384,0.99984,1,0.995,0.99494,1.06224,0.02893,0,0.45982,1.39725,0.0017624,0.0017624,0.0017624
14,418.059,0.40936,0.02915,0,0.35797,0.87883,0.99985,1,0.995,0.98985,0.99985,1,0.995,0.99498,0.3571,0.01995,0,0.21326,0.95294,0.0017426,0.0017426,0.0017426
15,449.052,0.39559,0.03066,0,0.3466,0.87681,0.99984,1,0.995,0.62722,0.99984,1,0.995,0.99495,1.82789,0.03461,0,0.77512,2.22597,0.0017228,0.0017228,0.0017228
16,478.605,0.37983,0.02885,0,0.34315,0.87698,0.99985,1,0.995,0.97195,0.99985,1,0.995,0.99497,0.42004,0.01729,0,0.24245,0.96373,0.001703,0.001703,0.001703
17,508.881,0.40294,0.02838,0,0.33839,0.87701,0.99984,1,0.995,0.93788,0.99984,1,0.995,0.99497,0.51777,0.01827,0,0.2631,1.00021,0.0016832,0.0016832,0.0016832
18,539.376,0.38527,0.02253,0,0.33607,0.87557,0.99986,1,0.995,0.9517,0.99986,1,0.995,0.99498,0.46905,0.01712,0,0.23526,0.98439,0.0016634,0.0016634,0.0016634
19,569.6,0.36925,0.02592,0,0.3267,0.87093,0.99985,1,0.995,0.98593,0.99985,1,0.995,0.99493,0.34905,0.0165,0,0.21053,0.95918,0.0016436,0.0016436,0.0016436
20,600.258,0.36042,0.02345,0,0.31867,0.87036,0.99986,1,0.995,0.98776,0.99986,1,0.995,0.99499,0.36868,0.01406,0,0.20579,0.94821,0.0016238,0.0016238,0.0016238
21,630.435,0.3773,0.02496,0,0.33425,0.87438,0.99985,1,0.995,0.99022,0.99985,1,0.995,0.99493,0.33777,0.01596,0,0.19928,0.95735,0.001604,0.001604,0.001604
