epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,1038.84,0.07754,0.14759,0,0.10578,0.8712,1,1,0.995,0.995,1,1,0.995,0.995,0.08863,0.06884,0,0.1247,0.45717,0.0013862,0.0013862,0.0013862
33,1069.64,0.07864,0.15167,0,0.10494,0.87222,1,1,0.995,0.995,1,1,0.995,0.995,0.1597,0.12808,0,0.14224,0.51302,0.0013664,0.0013664,0.0013664
34,1101.93,0.07968,0.15487,0,0.10882,0.87268,1,1,0.995,0.995,1,1,0.995,0.995,0.06214,0.09263,0,0.0715,0.40621,0.0013466,0.0013466,0.0013466
35,1134.93,0.07626,0.14373,0,0.10467,0.87316,0.99987,1,0.995,0.995,0.99987,1,0.995,0.99482,0.09491,0.09501,0,0.10808,0.43167,0.0013268,0.0013268,0.0013268
36,1164.96,0.07559,0.13917,0,0.10326,0.87148,1,1,0.995,0.995,1,1,0.995,0.995,0.11395,0.1455,0,0.14774,0.45509,0.001307,0.001307,0.001307
37,1197.53,0.07584,0.1513,0,0.10249,0.87265,1,1,0.995,0.995,1,1,0.995,0.995,0.0916,0.06548,0,0.06981,0.45119,0.0012872,0.0012872,0.0012872
38,1231.09,0.07663,0.1358,0,0.10284,0.86739,1,1,0.995,0.99436,1,1,0.995,0.99495,0.17867,0.13561,0,0.26009,0.49955,0.0012674,0.0012674,0.0012674
39,1263.23,0.07362,0.13524,0,0.09757,0.87173,1,1,0.995,0.995,1,1,0.995,0.995,0.08133,0.07263,0,0.09306,0.43937,0.0012476,0.0012476,0.0012476
40,1296.16,0.07491,0.12377,0,0.10122,0.86908,1,1,0.995,0.995,1,1,0.995,0.995,0.10363,0.09403,0,0.22235,0.48097,0.0012278,0.0012278,0.0012278
41,1326.83,0.07291,0.13113,0,0.10041,0.86904,1,1,0.995,0.995,1,1,0.995,0.995,0.11247,0.14215,0,0.09812,0.46972,0.001208,0.001208,0.001208
42,1361.58,0.06617,0.12502,0,0.09853,0.87079,1,1,0.995,0.995,1,1,0.995,0.99497,0.10893,0.10125,0,0.11708,0.46415,0.0011882,0.0011882,0.0011882
43,1394.4,0.07116,0.13026,0,0.09811,0.87306,1,1,0.995,0.995,1,1,0.995,0.995,0.06314,0.10123,0,0.09423,0.42162,0.0011684,0.0011684,0.0011684
44,1426.2,0.07084,0.12474,0,0.09495,0.87038,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.06565,0.07821,0,0.11387,0.41781,0.0011486,0.0011486,0.0011486
45,1459.2,0.06727,0.11937,0,0.09231,0.86643,1,1,0.995,0.995,1,1,0.995,0.995,0.15417,0.13393,0,0.12655,0.49554,0.0011288,0.0011288,0.0011288
46,1492.68,0.06537,0.12016,0,0.09047,0.86759,1,1,0.995,0.995,1,1,0.995,0.995,0.07239,0.08702,0,0.06004,0.43518,0.001109,0.001109,0.001109
47,1525.89,0.06256,0.11684,0,0.08782,0.86507,1,1,0.995,0.995,1,1,0.995,0.995,0.10011,0.11926,0,0.11771,0.41878,0.0010892,0.0010892,0.0010892
48,1560.04,0.06485,0.10677,0,0.08978,0.86745,1,1,0.995,0.995,1,1,0.995,0.995,0.06642,0.09712,0,0.14232,0.417,0.0010694,0.0010694,0.0010694
49,1593.65,0.06808,0.10614,0,0.09238,0.872,1,1,0.995,0.995,1,1,0.995,0.995,0.06413,0.08209,0,0.06515,0.43106,0.0010496,0.0010496,0.0010496
50,1625.75,0.06557,0.10342,0,0.09005,0.8659,1,1,0.995,0.995,1,1,0.995,0.995,0.05967,0.0832,0,0.06141,0.43142,0.0010298,0.0010298,0.0010298
51,1655.96,0.06285,0.11243,0,0.0883,0.86928,1,1,0.995,0.995,1,1,0.995,0.995,0.05968,0.07316,0,0.10298,0.42043,0.00101,0.00101,0.00101
52,1690.77,0.05956,0.10425,0,0.08836,0.86881,1,1,0.995,0.995,1,1,0.995,0.995,0.0824,0.0706,0,0.09784,0.4453,0.0009902,0.0009902,0.0009902
53,1726.91,0.05575,0.09543,0,0.08174,0.86798,1,1,0.995,0.995,1,1,0.995,0.995,0.05573,0.06688,0,0.05436,0.40827,0.0009704,0.0009704,0.0009704
